R_m,method,seed,seam_c0_rms_m,seam_c1_rms_deg
4.0,smoothstep,0,3.015017440733727e-06,0.0070968488077669725
4.0,smoothstep,1,9.41302625376876e-07,0.0022095364271178465
4.0,smoothstep,2,2.5119126139191815e-06,0.00582574988751499
4.0,smoothstep,3,1.155806339592249e-06,0.002681853111481288
4.0,smoothstep,4,2.1247555708430535e-06,0.004970468782868549
4.0,smoothstep,5,3.057501451082004e-06,0.006903713237386685
4.0,smoothstep,6,1.2295192789685982e-06,0.00284913111577284
4.0,smoothstep,7,1.932302670319624e-06,0.004429756204399439
4.0,smoothstep,8,1.87079022529315e-06,0.00424594996544619
4.0,smoothstep,9,1.9032443354360782e-06,0.004348484541940365
4.0,smoothstep,10,3.15354533447802e-06,0.007339223141300342
4.0,smoothstep,11,2.3035993193763656e-06,0.005266625147580257
4.0,smoothstep,12,2.8267015259730824e-06,0.006580941404721946
4.0,smoothstep,13,2.819188475447254e-06,0.006612288157288322
4.0,smoothstep,14,2.104490384124895e-06,0.004850398740179048
4.0,smoothstep,15,3.030547322796051e-06,0.007076695252136606
4.0,smoothstep,16,2.674766493737397e-06,0.006101635528551787
4.0,smoothstep,17,9.77684695264481e-07,0.0022537873511624075
4.0,smoothstep,18,1.2045600666979745e-06,0.0027510606378967316
4.0,smoothstep,19,3.1409770312883405e-06,0.007407884201188647
4.0,smoothstep,20,1.8829945335078977e-06,0.004469737461148993
4.0,smoothstep,21,2.2400442092286416e-06,0.005347827077593437
4.0,smoothstep,22,2.125691234215685e-06,0.004870526592481686
4.0,smoothstep,23,1.958003798343827e-06,0.004464719783720187
4.0,smoothstep,24,2.92437534094279e-06,0.0068622192915219205
4.0,smoothstep,25,1.4374231157119107e-06,0.00320480767101926
4.0,smoothstep,26,1.3418043613752733e-06,0.003155345777457604
4.0,smoothstep,27,2.9777136323267817e-06,0.006761609932373475
4.0,smoothstep,28,2.7184236271339082e-06,0.006206845181866277
4.0,smoothstep,29,1.3929747566298166e-06,0.003221778460556213
4.0,gaussian_shipped,0,0.002446120539208593,0.9711921326510647
4.0,gaussian_shipped,1,0.0007636903370565603,0.31112819464292035
4.0,gaussian_shipped,2,0.0020379454375924113,0.7057654949049761
4.0,gaussian_shipped,3,0.0009377198249095601,0.3779509542908468
4.0,gaussian_shipped,4,0.0017238401915752233,0.628182811908476
4.0,gaussian_shipped,5,0.002480588336607329,0.9015552756034916
4.0,gaussian_shipped,6,0.0009975240345230347,0.3956727984050474
4.0,gaussian_shipped,7,0.0015677007986680748,0.570311823301859
4.0,gaussian_shipped,8,0.0015177949993969509,0.6388043664802786
4.0,gaussian_shipped,9,0.0015441254160405888,0.5738437779514166
4.0,gaussian_shipped,10,0.0025585099143290053,0.9511685550498828
4.0,gaussian_shipped,11,0.0018689383129611907,0.6996695934660577
4.0,gaussian_shipped,12,0.0022933375334679095,0.8361822647313369
4.0,gaussian_shipped,13,0.002287242103652135,0.992343666393677
4.0,gaussian_shipped,14,0.0017073987976408268,0.6634128222109763
4.0,gaussian_shipped,15,0.002458720122537997,0.9461537362848741
4.0,gaussian_shipped,16,0.002170070782849521,0.7878831058528029
4.0,gaussian_shipped,17,0.0007932075555006871,0.29806126039445563
4.0,gaussian_shipped,18,0.0009772743202252705,0.36275843892976556
4.0,gaussian_shipped,19,0.002548313096174684,0.976545437794443
4.0,gaussian_shipped,20,0.001527696503974536,0.6023880442955011
4.0,gaussian_shipped,21,0.0018173752744846425,0.8001055924166111
4.0,gaussian_shipped,22,0.0017245993067175303,0.6378182171727363
4.0,gaussian_shipped,23,0.0015885524382942557,0.5753319845271114
4.0,gaussian_shipped,24,0.002372581494617973,0.9022191763036922
4.0,gaussian_shipped,25,0.001166198961031695,0.42417130663557073
4.0,gaussian_shipped,26,0.0010886222957174573,0.42983400997464116
4.0,gaussian_shipped,27,0.0024158555030260047,0.8925627245992437
4.0,gaussian_shipped,28,0.002205490349330763,0.8409098196685701
4.0,gaussian_shipped,29,0.0011301374634708813,0.45247476428354866
4.0,gaussian_calibrated,0,7.700414136676603e-06,0.0035246745757103247
4.0,gaussian_calibrated,1,2.4041055104407424e-06,0.0011141051885072437
4.0,gaussian_calibrated,2,6.415474464921277e-06,0.0025889655842641457
4.0,gaussian_calibrated,3,2.951952236299722e-06,0.0013302613151472398
4.0,gaussian_calibrated,4,5.426667724588854e-06,0.002309718074254893
4.0,gaussian_calibrated,5,7.808919138819795e-06,0.003076885867247951
4.0,gaussian_calibrated,6,3.14021654043306e-06,0.0013953370046074689
4.0,gaussian_calibrated,7,4.9351392127423735e-06,0.0020118305185196288
4.0,gaussian_calibrated,8,4.778035212326336e-06,0.0021416834384293455
4.0,gaussian_calibrated,9,4.860923651100024e-06,0.002000025888438933
4.0,gaussian_calibrated,10,8.054217115359528e-06,0.0034433943257537315
4.0,gaussian_calibrated,11,5.8834381932621646e-06,0.002437836647738797
4.0,gaussian_calibrated,12,7.2194515682374646e-06,0.003044521987284079
4.0,gaussian_calibrated,13,7.200263088696019e-06,0.0034883332689213836
