global_resolution,grid_spacing_m,method,seed,seam_c0_rms_m,t_total_ms,single_grid_baked_vertices
64,1.2698412698412698,smoothstep,0,8.821280116806779e-06,3.2534869969822466,4096
64,1.2698412698412698,smoothstep,1,3.599497613023788e-06,2.5918910032487474,4096
64,1.2698412698412698,smoothstep,2,9.31522653785516e-06,2.5248969977837987,4096
64,1.2698412698412698,smoothstep,3,3.296547212007215e-06,2.5838219953584485,4096
64,1.2698412698412698,smoothstep,4,6.919237886095409e-06,2.6585049999994226,4096
64,1.2698412698412698,smoothstep,5,8.781647170378334e-06,2.566898001532536,4096
64,1.2698412698412698,smoothstep,6,5.004374656019168e-06,2.533550992666278,4096
64,1.2698412698412698,smoothstep,7,5.913923803360569e-06,2.497239998774603,4096
64,1.2698412698412698,smoothstep,8,6.219591056431362e-06,2.504681011487264,4096
64,1.2698412698412698,smoothstep,9,6.143409100199968e-06,2.536086001782678,4096
64,1.2698412698412698,gaussian_calibrated,0,1.1637925082836808e-06,2.522833994589746,4096
64,1.2698412698412698,gaussian_calibrated,1,4.911352170328703e-07,2.5412149989278987,4096
64,1.2698412698412698,gaussian_calibrated,2,1.1883098179377051e-06,2.497020992450416,4096
64,1.2698412698412698,gaussian_calibrated,3,4.097174864404084e-07,2.5035829967237078,4096
64,1.2698412698412698,gaussian_calibrated,4,9.516822225271878e-07,2.5138130149571225,4096
64,1.2698412698412698,gaussian_calibrated,5,1.1198770030732582e-06,2.5237269946956076,4096
64,1.2698412698412698,gaussian_calibrated,6,6.555836198376007e-07,2.5221440009772778,4096
64,1.2698412698412698,gaussian_calibrated,7,7.617788131116209e-07,2.485297001840081,4096
64,1.2698412698412698,gaussian_calibrated,8,7.975780963300367e-07,2.536775005864911,4096
64,1.2698412698412698,gaussian_calibrated,9,8.191955760556843e-07,2.4994639970827848,4096
64,1.2698412698412698,hybrid,0,8.821280116806779e-06,2.5464909995207563,4096
64,1.2698412698412698,hybrid,1,3.599497613023788e-06,2.5380890074302442,4096
64,1.2698412698412698,hybrid,2,9.31522653785516e-06,2.5215839996235445,4096
64,1.2698412698412698,hybrid,3,3.296547212007215e-06,2.546928997617215,4096
64,1.2698412698412698,hybrid,4,6.919237886095409e-06,2.5322130095446482,4096
64,1.2698412698412698,hybrid,5,8.781647170378334e-06,2.520522990380414,4096
64,1.2698412698412698,hybrid,6,5.004374656019168e-06,2.5382739913766272,4096
64,1.2698412698412698,hybrid,7,5.913923803360569e-06,2.5070580013561994,4096
64,1.2698412698412698,hybrid,8,6.219591056431362e-06,2.533759987272788,4096
64,1.2698412698412698,hybrid,9,6.143409100199968e-06,2.523269002267625,4096
96,0.8421052631578947,smoothstep,0,8.435398493886987e-06,3.3915579988388345,9216
96,0.8421052631578947,smoothstep,1,3.1602366865434675e-06,3.260379991843365,9216
96,0.8421052631578947,smoothstep,2,5.9779737680047e-06,3.199318001861684,9216
96,0.8421052631578947,smoothstep,3,3.0055999215710947e-06,3.2500040106242523,9216
96,0.8421052631578947,smoothstep,4,5.441357524284487e-06,3.2793479986139573,9216
96,0.8421052631578947,smoothstep,5,7.623484069195739e-06,3.287744999397546,9216
96,0.8421052631578947,smoothstep,6,3.619921877931403e-06,3.26590400072746,9216
